RK,NAME,TEAM,SALARY         ,Team Rank
258,Frank Kaminsky,CHO,2730000,11
259,Dennis Schroder,ATL,2708582,10
260,Jakob Poeltl,TOR,2703960,9
261,Aaron Brooks,IND,2700000,9
262,Elfrid Payton,ORL,2613600,11
263,Justise Winslow,MIA,2593440,9
264,Thon Maker,MIL,2568600,9
265,Malcolm Delaney,ATL,2500000,11
266,Randy Foye,BRK,2500000,9
267,Richard Jefferson,CLE,2500000,8
268,Doug McDermott,CHI,2483040,8
269,Myles Turner,IND,2463840,10
270,Domantas Sabonis,OKC,2440200,9
271,Shelvin Mack,UTA,2433334,8
272,Tony Snell,MIL,2368327,10
273,Gorgui Dieng,MIN,2348783,10
274,Trey Lyles,UTA,2340600,9
275,Mason Plumlee,POR,2328530,10
276,Taurean Waller-Prince,ATL,2318280,12
277,Dario Saric,PHI,2318280,10
278,Tim Hardaway,ATL,2281605,13
279,Reggie Bullock,DET,2255644,11
280,Zach LaVine,MIN,2240880,11
281,Devin Booker,PHO,2223600,10
282,Luc Mbah,LAC,2203000,9
283,Georgios Papagiannis,SAC,2202240,10
284,Andre Roberson,OKC,2183072,10
285,Joe Ingles,UTA,2150000,10
286,T.J. Warren,PHO,2128920,11
287,Rudy Gobert,UTA,2121288,11
288,Cameron Payne,OKC,2112480,11
289,Denzel Valentine,CHI,2092200,9
290,Tim Frazier,NOP,2090000,12
291,Adreian Payne,MIN,2022240,12
292,Kelly Oubre,WAS,2006640,11
293,Juan Hernangomez,DEN,1987440,10
294,Jusuf Nurkic,DEN,1921320,11
295,Lucas Nogueira,TOR,1921320,10
296,Terry Rozier,BOS,1906440,11
297,James Young,BOS,1825200,12
298,Rashad Vaughn,MIL,1811040,11
299,Kevin Seraphin,IND,1800000,11
300,Wade Baldwin,MEM,1793760,10
301,Quincy Acy,BRK,1790092,10
302,Tyler Ennis,LAL,1733880,10
303,Sam Dekker,HOU,1720560,8
304,Joffrey Lauvergne,OKC,1709719,12
305,Henry Ellenson,DET,1704120,12
306,Gary Harris,DEN,1655880,12
307,Jerian Grant,CHI,1643040,10
308,Malik Beasley,DEN,1627320,13
309,Bruno Caboclo,TOR,1589640,11
310,Delon Wright,TOR,1577280,12
311,Caris LeVert,BRK,1562280,11
312,David Lee,SAS,1551659,9
313,Justin Anderson,DAL,1514160,8
314,Marcelo Huertas,LAL,1500000,11
315,DeAndre' Bembry,ATL,1499760,14
316,Bobby Portis,CHI,1453680,11
317,Demetrius Jackson,BOS,1450000,13
318,Malachi Richardson,SAC,1439800,11
319,Rodney Hood,UTA,1406520,12
320,JaVale McGee,GSW,1403611,8
321,Marreese Speights,LAC,1403611,10
322,Michael Beasley,MIL,1403611,12
323,Rondae Hollis-Jefferson,BRK,1395600,12
324,Deyonta Davis,MEM,1369299,11
325,Nikola Jokic,DEN,1358500,14
326,Shabazz Napier,POR,1350120,11
327,Willy Hernangomez,NYK,1350000,10
328,Tyus Jones,MIN,1339680,13
329,Timothe Luwawu-Cabarrot,PHI,1326960,11
330,Clint Capela,HOU,1296240,9
331,Jarell Martin,MEM,1286160,12
332,Brice Johnson,LAC,1273920,11
333,Luke Babbitt,MIA,1227286,10
334,Jordan Mickey,BOS,1223653,14
335,C.J. Wilcox,ORL,1209600,12
336,Larry Nance,LAL,1207680,12
337,Pascal Siakam,TOR,1196040,13
338,Kyle Anderson,SAS,1192080,10
339,Chris McCullough,BRK,1191480,13
340,Josh Huestis,OKC,1191480,13
341,Skal Labissiere,SAC,1188840,12
342,Kevon Looney,GSW,1182840,9
343,Dejounte Murray,SAS,1180080,11
344,Damian Jones,GSW,1171560,10
345,Isaiah Whitehead,BRK,1074145,14
346,Joe Young,IND,1052342,12
347,Rakeem Christmas,IND,1052342,13
348,John Jenkins,PHO,1050961,12
349,Glenn Robinson,IND,1050500,14
350,Montrezl Harrell,HOU,1045000,10
351,Ivica Zubac,LAL,1034956,13
352,Richaun Holmes,PHI,1025831,12
353,Mike Muscala,ATL,1015696,15
354,Anthony Bennett,BRK,1015696,15
355,Isaiah Canaan,CHI,1015696,12
356,DeAndre Liggins,CLE,1015696,9
357,Willie Reed,MIA,1015696,11
358,Justin Holiday,NYK,1015696,11
